ID|IdItem|Quantidade|ValorUnitario|IdFornecedor|Status|DataSolicitacao
1|1001|50|0.10|1|1|24/10/2025 09:00:00
2|1002|100|0.12|2|1|25/10/2025 09:30:00
3|1003|75|0.15|3|0|26/10/2025 10:00:00
4|1004|120|0.20|4|1|27/10/2025 11:15:00
5|1005|40|0.25|5|2|28/10/2025 08:45:00
6|1001|60|0.11|6|1|29/10/2025 09:10:00
7|1002|30|0.13|7|1|30/10/2025 10:05:00
8|1003|90|0.14|8|0|31/10/2025 14:20:00
9|1004|200|0.22|9|1|01/11/2025 09:50:00
10|1005|15|0.30|10|1|02/11/2025 08:30:00
11|1001|80|0.10|1|1|03/11/2025 09:00:00
12|1002|55|0.12|2|1|04/11/2025 09:30:00
13|1003|45|0.15|3|2|05/11/2025 10:00:00
14|1004|110|0.20|4|1|06/11/2025 11:15:00
15|1005|25|0.25|5|0|07/11/2025 08:45:00
16|1001|95|0.11|6|1|08/11/2025 09:10:00
17|1002|65|0.13|7|1|09/11/2025 10:05:00
18|1003|135|0.14|8|1|10/11/2025 14:20:00
19|1004|150|0.22|9|1|11/11/2025 09:50:00
20|1005|20|0.30|10|1|12/11/2025 08:30:00
21|1001|20|0.10|1|1|22/11/2025 21:54:08
22|4|100|300.00|9|1|24/11/2025 15:52:04
